ProductDescriptionID	Description	ModifiedDate
907	Higher density rubber.	2007-06-01 00:00:00
908	Lightweight carbon reinforced  for an unrivaled ride at an un-compromised weight.	2007-06-01 00:00:00
909	High-density rubber.	2007-06-01 00:00:00
912	Self-sealing tube.	2007-06-01 00:00:00
913	Conventional all-purpose tube.	2007-06-01 00:00:00
914	General purpose tube.	2007-06-01 00:00:00
1020	The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.	2007-06-01 00:00:00
1062	Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.	2007-06-01 00:00:00
1090	Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.	2007-06-01 00:00:00
1146	Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.	2007-06-01 00:00:00
1182	The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.	2007-06-01 00:00:00
1183	Affordable light for safe night riding - uses 3 AAA batteries	2007-06-01 00:00:00
1185	Aluminum cage is lighter than our mountain version; perfect for long distance trips.	2007-06-01 00:00:00
1186	AWC logo water bottle - holds 30 oz; leak-proof.	2007-06-01 00:00:00
1187	Carries 4 bikes securely; steel construction, fits 2  receiver hitch.	2007-06-01 00:00:00
1188	Clip-on fenders fit most mountain bikes.	2007-06-01 00:00:00
1189	Combination of natural and synthetic fibers stays dry and provides just the right cushioning.	2007-06-01 00:00:00
1191	Designed for convenience. Fits in your pocket. Aluminum barrel. 160psi rated.	2007-06-01 00:00:00
1192	Designed for the AWC team with stay-put straps, moisture-control, chamois padding, and leg grippers.	2007-06-01 00:00:00
1193	Durable, water-proof nylon construction with easy access. Large enough for weekend trips.	2007-06-01 00:00:00
1194	Full padding, improved finger flex, durable palm, adjustable closure.	2007-06-01 00:00:00
1195	Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders.	2007-06-01 00:00:00
1196	Heavy duty, abrasion-resistant shorts feature seamless, lycra inner shorts with anti-bacterial chamois for comfort.	2007-06-01 00:00:00
1197	Includes 8 different size patches, glue and sandpaper.	2007-06-01 00:00:00
1199	Light-weight, wind-resistant, packs to fit into a pocket.	2007-06-01 00:00:00
1200	Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.	2007-06-01 00:00:00
1201	Perfect all-purpose bike stand for working on your bike at home. Quick-adjusting clamps and steel construction.	2007-06-01 00:00:00
1202	Rechargeable dual-beam headlight.	2007-06-01 00:00:00
1203	Rugged weatherproof headlight.	2007-06-01 00:00:00
1205	Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets.	2007-06-01 00:00:00
1206	Simple and light-weight. Emergency patches stored in handle.	2007-06-01 00:00:00
1208	Thin, lightweight and durable with cuffs that stay up.	2007-06-01 00:00:00
1209	Tough aluminum cage holds bottle securly on tough terrain.	2007-06-01 00:00:00
1210	Traditional style with a flip-up brim; one-size fits all.	2007-06-01 00:00:00
1211	Unisex long-sleeve AWC logo microfiber cycling jersey	2007-06-01 00:00:00
1212	Universal fit, well-vented, lightweight , snap-on visor.	2007-06-01 00:00:00
1213	Versatile 70 oz hydration pack offers extra storage, easy-fill access, and a waist belt.	2007-06-01 00:00:00
1214	Warm spandex tights for winter riding; seamless chamois construction eliminates pressure points.	2007-06-01 00:00:00
1215	Washes off the toughest road grime; dissolves grease, environmentally safe. 1-liter bottle.	2007-06-01 00:00:00
1216	Wraps to fit front and rear tires, carrier and 2 keys included.	2007-06-01 00:00:00
1360	??????? ?????????	2007-06-01 00:00:00
1361	?????? ?? ????? ??????????? ??? ???? ????? ???? ?????.	2007-06-01 00:00:00
1362	?????? ?? ????? ?????????? ????? ????.	2007-06-01 00:00:00
1363	?????? ??? ??? ?? ????? ???????? ????? ??? ????? ??????? ?? ??? ???????. ?????? ??? ???????. ??? ????? ??? ?? ????? ?????.	2007-06-01 00:00:00
1364	???? ??? ??????? ????? ?????? ?? ?????? ?? ???? ??????? ?????. ??? ????? ????? ????????? ???????? ?????? ????????? ??? ???????? ??? ????????? ??????? ???? ???? ????? ?? ??????? ??? ????? ??? ???????.	2007-06-01 00:00:00
1365	?????? ????? ???????? ?? ??????? ??? ???????. ????? ????? ?????? ????? ???????? ??? ??? ?? ???? ??? ????? ?? ?? ???? ??? ????? ??????? ?? ??? ??? ?? ?????? ????????.	2007-06-01 00:00:00
1366	?????? ????????? ?? ??????? ???????. ????? ????? ????? ??????? ????????. ?????? ??? ???? HL Frame ???????? ?? ???? Mountain-100.	2007-06-01 00:00:00
1367	????? ?????? ????? ??????? ?? ?????? ?? ???? ????. ????? ?????? ????? ?????? ???? HL Frame ????????? ???????? ??????? ?? ??????? ???????? ???? ???? ???????? ????? ????? ???????.	2007-06-01 00:00:00
1368	?????? ????? ????? ??????? ??? ????? ??? ???????. ????? ??? ???????.	2007-06-01 00:00:00
1369	???? ????? ?????? ????????? ?? ????????? ??? ???? ????? ????? ????? ??? ????? ?????? ?? ?? ???? ???????. ????? ????? ???????? ????????? ????????? ????? ???????.	2007-06-01 00:00:00
1370	???? ????? ??? ??? ????? ?????????? ??? ????? ??????? ?? ????? ???? ?????? ????????. ???? ????? ????? ??? ????? ?? ?? ???? ???? ????? ????? ?? ???????.	2007-06-01 00:00:00
1371	???? ??? ??????? ???????? ?? ???? ?????? ????? ?????? ?????? ???? ???? ??????? ?? ?? ????? ???? ?????? ??????? ????????. ???? ????? ?????? ???? ?????? ?? ???????? ?????? ??????? ??? ????? ??????? ?? ??????? ?? ????????.	2007-06-01 00:00:00
1372	???? ??? ??????? ???????? ?? ???? ?????? ????? ?????? ?????. ???? ????? ?????? ?????? ???????? ????? ??????? ??? ????? ??????? ?? ??????? ?? ????????.	2007-06-01 00:00:00
1373	???? ????? ???? ?????? ?? ???????? ??? ????? ?????? ???? ?????? ???????? ??? ????? ?????? ???????. ???? ?? ??????? ?????????? ??????? ??????? ??????? ?? ?????????? ??? ???? ????? ????? ?????? ???????? ???? ????? ???????? ????? ????????.	2007-06-01 00:00:00
1374	????? ???????? ??? ??????? ??????? ???? ????? ?????? ??????????? ???????? ?????? ??? ?????? ?????? ?? ??????? ?? ???? ???????? ?? ???? ???????. ????? ?? ????? ??????? ???????? ?????? ???? ?????.	2007-06-01 00:00:00
1375	?????? ???????? ??? ??????? ??????? ???? ????? ?????? ??????????? ???????? ???????? ?????? ?????? ??? ?????? ?????? ?? ??????? ?? ???? ???????? ?? ???? ???????. ????? ??? ????? ??????? ???????? ?????? ???? ?????.	2007-06-01 00:00:00
1376	???? ?????? ??????? ?? ????? ???????? ????? ???? ?????? ?????? ?? ??? ?????? ????? ??? ?????? ?? ???? ???? ?????? ?? ?? ???? ????? ?????? ???? ? ???? ??????? ? ???? ????? ?????.	2007-06-01 00:00:00
1377	???? ??????? ???? ?????? ???????? ??????? ????????. ?????? ???? ?? ??????? ?? ???? ???? ???? ????????? Adventure Works Cycles? ??? ?? ????? ?????? ?? ?????????? ?????? ???????? ???????? ??? ??????? ????? ????? ???? ??????? ?????? ?? ???????.	2007-06-01 00:00:00
1378	???? ????? ????? ???? ????? ????????? ??? ????? ??? ????? ?????? ??????? ???????? ?? ????????. ??? ????? ??????? ???? ????? ??????? ?? ????? ??? ????? ??????? ?? ????? ?????? ?? ????? ????? ??????? ?????????.	2007-06-01 00:00:00
1379	?? ???? ??????? ?????? ??????? ?? ???? ????? ????? ?? ??? ????? ?? ??????? ???? ?????? ??? ???? ?? ???? ??????? ??????? ??????? ????? ????? ?????? ???? ?? ??? ????? ??? ???????. ?????? ??? ??????? ???????? ??? ??? ??????? ???????.	2007-06-01 00:00:00
1380	???? ???????? ????? ????? ??????? ?? ?????? ????? ???? ???????? ????? ?? ?????? ?????? ??? ?????? ???????.	2007-06-01 00:00:00
1381	?????? ??????? ????? ????? ?????? ??? ??????.	2007-06-01 00:00:00
1382	???? ????? ????? ?????? ???????? ?????????.	2007-06-01 00:00:00
1383	???? ????? ????? ?? ????? ?????????? ?????? ?????? ?? ??????? ???? ?? ????? ???? ?????? ??????.	2007-06-01 00:00:00
1384	???? ????? ???? ????? ????? ?? ??????.	2007-06-01 00:00:00
1385	?????? ??????? ??????? ??????? ?????? ??????????? ???????? ????? ??????? ???????.	2007-06-01 00:00:00
1386	??? ?????. ????? ??? ???? ????????? ?????? ???? ?? ??????.	2007-06-01 00:00:00
1387	????????? ??????? ?????? ??????? ??? ?????. ??? ?? ????? ??? ??????? ?????? ???? ????? ?????? ???????. ???? ?? ?????? ?????? ?? ?????? ??????? ??????? ??? ???? ????? ?????????. ???? ?????? ????? ?????????? ????? ??????? ??? ????? ??? ??? ?????.	2007-06-01 00:00:00
1388	???? ???? ?? ??? ???????.	2007-06-01 00:00:00
1389	???? ????? ??? ???? ??????.	2007-06-01 00:00:00
1390	???? ????? ???? ?????.	2007-06-01 00:00:00
1391	?????? ????? ??????? ????? ????? ????????? ???????? ??? ????? ??? ???? ?????.	2007-06-01 00:00:00
1392	????? ??? ?????? (???) ?????? ????? ???? ?????? ??????? ??? ???? ??????? ????? ????? ???? ?????? ????? ???? ?? ??? ??????? ??? ?????? ???????.	2007-06-01 00:00:00
1393	????? ???? ???????.	2007-06-01 00:00:00
1394	????? ??? ???? ??????? ????? ????? ???? ???.	2007-06-01 00:00:00
1395	???? ???? ????? ?????? ???????? ????? ??? ???? ????? ????? ?? ??????????.	2007-06-01 00:00:00
1396	???? ???? ????? ?????? ???????? ?? ??????? ????? ?????? ??? ?????? ??????.	2007-06-01 00:00:00
1397	???? ???? ??? ???? ???????? ????? ??? ?????? ??? ????? ?????? ?????????? ????????? ?? ???? ML ??????? ?? ??????????.	2007-06-01 00:00:00
1398	?? ???? ML ?? ???? ????? ?? ?????????? ?????? ??????? ????? ???? ?????? ????? ???? HL ????? ???. ??? ???? ????? ??????. ?????? ???????.	2007-06-01 00:00:00
1399	?? ???? ML ?? ???? ????? ?? ?????????? ?????? ??????? ????? ???? ?????? ????? ???? HL ????? ???. ??? ???? ????? ??????. ?????? ???????.	2007-06-01 00:00:00
1400	??? ?? ????? ?? ???? ?? ??? ??????? ?????? ?? ?????? ?????? Bothel ???? ??? ????? ???? ????? ??? ???? ?????? ???????? ????? ????? ????? ??????? ?? ?????? ?? ?????? ??????. ?????? ???? ?????????? ??????? ????????? ??????? ??????? ??? ??? ???? ???? ???????.	2007-06-01 00:00:00
1401	????? ???? ML ??? ?????? ????? ???? ????? ?? ??????? ???? ????? ??? ???? ??? ???? ???? ????? ?????? ??? ?? ??????? ?? ??? ????? ?????????? ???? ?? ????? ???? HL - ???? ??? ?? ???? ???????? - ????. ?????? ???????.	2007-06-01 00:00:00
1402	???? ???????? ????? ??????? ?? ?????? ?????? ???????? ?????????.	2007-06-01 00:00:00
1403	???? ???????? ????? ??????? ?? ?????? ????? ???? ????? ?????? ????? ?? ?????? ?????? ??? ?????? ???????.	2007-06-01 00:00:00
1404	???? ???????? ????? ??????? ?? ?????? ????? ??????.	2007-06-01 00:00:00
1405	???? ???? ?????? ????? ?????? ???????? ?????????.	2007-06-01 00:00:00
1406	????? ????? ????? ???? ????? ??? ???? ???? ???? ???????.	2007-06-01 00:00:00
1407	???? ???? ????? ????? ?? ??????.	2007-06-01 00:00:00
1408	???? ????? ??????????? ???????? ???????? ????????? ????? ????.	2007-06-01 00:00:00
1409	???? ????? ????? ????? ??????? ??? ????? ??????? ???? ???????.	2007-06-01 00:00:00
1410	????? ????? ???? ?? ????? ?????????? ?????? ??????? ??? ?????????.	2007-06-01 00:00:00
1411	???? ????? ???? ???? ????? ????? ?????? ?????????.	2007-06-01 00:00:00
1412	??? ???? ???? ?????? ???? ??? ???? ?????? ?? ??????.	2007-06-01 00:00:00
1413	???? ????? ?????? ????? ????? ?? ?????????? ?????? ?????? ????? ?? ???? ?????? ??????? ?????? ???? ???????.	2007-06-01 00:00:00
1414	???? ???? ????? ????? ?????? ????? ?? ???? ?????? ??????? ??? ????? ?? ????? ????????? ????? ??????????.	2007-06-01 00:00:00
1415	??? ???? ???? ???? ??????? ??? ?????? ?????????.	2007-06-01 00:00:00
1416	???? ????? ????? ?? ?????????? ???? ????? ????? ??? ????? ??????? ??????? ?????.	2007-06-01 00:00:00
1417	???? ?????? ??? ???????? ??? ?????? ??????? ?????? ???????? ????? ???? ??????? ?????? ???????? ????? ???????.	2007-06-01 00:00:00
1418	???? ???????? ????? ??????? ??????? ?? ??????.	2007-06-01 00:00:00
1419	???? ??? ?????? ??? ?????? ??????? ?????? ???????? ????? ???? ??????? ?????? 1 ???? ??? ???? ????? ????? ????? ????? ?????? ??????? ???? ????.	2007-06-01 00:00:00
1420	???? ????? ???? ???? ????? ??????? ??? ????? ???? ??? ???? ??????? ?????? ???????.	2007-06-01 00:00:00
1421	????? ????? ????? ????? ??????? ??? ????? ???? ??? ??? ???? ???????.	2007-06-01 00:00:00
1422	?????? ?? ??????? ???? ?? ????? ????? ?? ?????? ?????? ????? ??????.	2007-06-01 00:00:00
1423	??????? ??? ????? ???????? ?? ??????????.	2007-06-01 00:00:00
1424	?????? ????? ???????? ????? ?????.	2007-06-01 00:00:00
1425	??????? ?? ???? ???????? ???? ??? ???? ???????.	2007-06-01 00:00:00
1426	????? ????? ???????? ??????? ???? ?????.	2007-06-01 00:00:00
1427	????? ????? ??????? ?????? ????? ?????? ?? ?????????? ???????.	2007-06-01 00:00:00
1429	???? ????? ????? ?? ?????????? ?? ??? ????? ?? ????? ????? ?????.	2007-06-01 00:00:00
1430	???? ???????? ????? ????? ??????? ?? ?????? ???????? ?????????.	2007-06-01 00:00:00
1431	????? ??????? ???????.	2008-03-11 10:32:17.973000000
1432	????? ?????? ?? ???? ?????? ??????? ?????? ????? ????? ???? ?????. ??? ???? ??????.	2007-06-01 00:00:00
1433	???? ???? ????? ?? ??? ????.	2007-06-01 00:00:00
1434	????? ?????? ???? ???????.	2007-06-01 00:00:00
1435	???? ???? ???? ????? ????? ?? ???? ??????. ???.	2007-06-01 00:00:00
1436	???? ???????? ???? ???? ?????? ?? ???? ?????.	2007-06-01 00:00:00
1437	????? ???? ?????? ????? ??? ??????? ?????? ?????.	2007-06-01 00:00:00
1438	???? ????? ?? ?????? ?????? ???? ?? ?????? ????? ???????.	2007-06-01 00:00:00
1439	??? ?? ????? ???? ????????? ???? ???? ????? ????? ????? ?????.	2007-06-01 00:00:00
1440	??? ?? ?????? ???? ???? ???????.	2007-06-01 00:00:00
1441	??? ?? ?????? ????? ???? ???? ?????.	2007-06-01 00:00:00
1442	????? ??????? ?????? ???? ???? ???? ???????? ???????? ?????? ?????? ????? ???? ????? ???? ????? ????? ??? ?????.	2007-06-01 00:00:00
1443	???? ???? ????? ?? ???????? ??????.	2007-06-01 00:00:00
1444	????? ???? ???? ????? ?????? ?????? ?????? ?? ???? ????? ??????.	2007-06-01 00:00:00
1445	???? ???? ???????.	2007-06-01 00:00:00
1446	?????? ????? ?????.	2007-06-01 00:00:00
1447	?????? ??????? ????? ???? ???????.	2007-06-01 00:00:00
1448	?????? ?????? ???????.	2007-06-01 00:00:00
1449	???? ?????? LL Frame ????? ???? ??????? ?? ????? ??????? ????? ??????? ??????? ?? ???? ?? ?????????? ??? ????? ??????? ?????????.	2007-06-01 00:00:00
1450	????? ???? ML ??? ?????? ????? ????? ????? ?? ??????? ???? ????? ??? ???? ??? ???? ???? ????? ?????? ??? ?? ??????? ?? ??? ????? ?????????? ???? ?? ????? ???? HL - ???? ??? ?? ???? ???????? - ????. ?????? ???????.	2007-06-01 00:00:00
1451	??? ?? ????? ???? ??????? ?????????? ????? ????? ??????? ????? ?? ???? ??????? ????????? ??? ????? ???????? ??????? ?????? ????. ????? ??????? ???????? ???? ????? ?????? ???????.	2007-06-01 00:00:00
1452	???? ???? ?????????? ???? ??????? ???? ????? ??? ????? ???? ???????? ????? ?????? ?????? ?? ????? ??????. ???? ??????? ????????? ???? ????? ??????.	2007-06-01 00:00:00
1453	??? ?? ????? ??? ???? HL ??????? ?? ?????????? ?????? ?? ?? ???? ????? ??????? ??? ?? ??????? ?????? ???? ?????? ??????? ???????. ?????? ???????.	2007-06-01 00:00:00
1454	????? ??? ??? ????? ??????? ???? ??? ?????? ?????? 3 ??????? AAA.	2007-06-01 00:00:00
1455	???? ???? ?? ?????????? ??? ?? ????? ?? ?????? ?????? ??????? ?? ??????? ??? ????? ?? ??????? ??? ???????? ???????.	2007-06-01 00:00:00
1456	????? ???? ???? ???? AWC ?????? 840 ?????? ?? ??????? ??? ????? ??????.	2007-06-01 00:00:00
1457	???? 4 ?????? ???? ???? ?? ???? ???????? ?????? ???? ????? ?????? 2 ????.	2007-06-01 00:00:00
1458	????? ????? ?????? ????? ???? ???????? ??????? ??????? ?? ??????.	2007-06-01 00:00:00
1459	?????? ?? ?????? ??????? ???????? ??? ?????? ??????? ????? ?????? ??????.	2007-06-01 00:00:00
1460	????? ?????? ?????? ??????. ????? ??? ?????. ?????? ?? ??????????. ????? ??? ?? ?????? ???????.	2007-06-01 00:00:00
1461	????? ????? AWC ?? ????? ?????? ????? ?? ???????? ???? ?????? ??????? ???????.	2007-06-01 00:00:00
1462	?????? ????? ????? ?????? ????? ????? ???? ?????? ????? ??????. ????? ????? ????? ?????? ???? ????? ???????.	2007-06-01 00:00:00
1463	???? ?? ?? ???? ?????? ????? ????? ?????? ????? ??? ????? ????? ??? ???? ????? ???? ??????.	2007-06-01 00:00:00
1464	???? ?? ???? ?? ??????? ?????? ????? ????? ?????? ????? ???? ????? ??????. ?????? ????? ?????? ???? AWC.	2007-06-01 00:00:00
1465	????? ????? ?????? ?????? ?????????? ????? ??? ????? ?????? ???? ????? ?? ??????? ?????? ?? ???? ??????? ?????? ?????? ???? ???????? ?????? ??????.	2007-06-01 00:00:00
1466	???? 8 ??? ??? ?????? ?????? ????? ????? ?????? ???? ?????.	2007-06-01 00:00:00
1467	??? ????? ?????? ??????? ?????? ????? ??? ?????.	2007-06-01 00:00:00
1468	????? ???? ????? ??? ?????? ?????? ?? ???? ??????? ???? ???? ??? ??????? ???????.	2007-06-01 00:00:00
1469	???? ????? ????? ????? ??????? ????? ????? ?????? ???????. ????? ????? ????? ??????? ???????.	2007-06-01 00:00:00
1470	????? ????? ????? ??????? ???? ?????? ?????.	2007-06-01 00:00:00
1471	????? ????? ??? ???? ?????? ??????.	2007-06-01 00:00:00
1472	???? ???? ???? ??????? ??????? ???? ????? ?????? ????? ?? ???? ???? ?? ???????? ???? ????? ????? ?????? ?????? ???? ?????.	2007-06-01 00:00:00
1473	????? ?????? ?????. ??? ??? ??????? ????? ?? ???? ???????.	2007-06-01 00:00:00
1474	????? ?????? ????? ?????? ?????? ??? ????? ??? ?????.	2007-06-01 00:00:00
1475	???? ???? ?? ?????????? ????? ??????? ?????? ????? ??????? ??? ??????? ??????.	2007-06-01 00:00:00
1476	??? ?????? ?? ???? ????? ???????? ?????? ???? ???? ????? ??????.	2007-06-01 00:00:00
1477	???? ???? ???? ??????? ?????? ????? ??????? ????? ?? ???????????? ???? ???? AWC.	2007-06-01 00:00:00
1478	?????? ???? ???? ????? ???????? ?????? ????? ????? ??? ?? ????? ???? ?????? ???????? ????????.	2007-06-01 00:00:00
1479	???? ??? ????? ?????? ??????? ???????????? ??? 1.960 ???????? ????? ????? ????? ??????? ???????? ????? ????? ?? ???? ???.	2007-06-01 00:00:00
1480	????? ???????? ??????? ???????? ?? ?????????? ??????? ??????? ?? ??? ??????? ?? ?????? ??????? ?????????? ??? ?????? ?? ????? ?????.	2007-06-01 00:00:00
1481	?????? ????? ???? ????? ??????? ?????? ?????? ???????? ??? ???? ???? ??????. ????? ???? ??? ????.	2007-06-01 00:00:00
1482	????? ????? ???????? ??????? ???????? ????? ?????? ????????.	2007-06-01 00:00:00
1484	Acier chromé.	2007-06-01 00:00:00
1485	Cuvettes en alliage d'aluminium ; axe de grand diamètre.	2007-06-01 00:00:00
1486	Cuvettes en alliage d'aluminium et axe creux.	2007-06-01 00:00:00
1487	Adapté à tous les usages, sur route ou tout-terrain. Pour toutes les bourses. Changement de braquet en douceur et conduite confortable.	2007-06-01 00:00:00
1488	Ce vélo offre un excellent rapport qualité-prix. Vif et facile à manœuvrer, il se conduit en toute tranquillité sur les chemins et les sentiers.	2007-06-01 00:00:00
1489	Pour les véritables passionnés du VTT. Un vélo extrêmement robuste qui vous permettra d'aller partout, même sur les terrains difficiles, pour un budget raisonnable.	2007-06-01 00:00:00
1490	Conduite sur terrains très accidentés. Idéal pour tous les niveaux de compétition. Utilise le même cadre HL que le Montain-100.	2008-03-11 10:32:17.973000000
